"uniqid","yrint","yrborn","female","race","marital","educ","realrinc","health"
44356,2004,1975,1,2,1,12,3924.7,NA
23682,1989,1966,0,1,5,15,5102,4
38178,2000,1969,1,3,1,20,21612,4
40486,2000,1966,1,1,1,14,2992,4
38631,2000,1976,0,2,5,10,29925,3
30993,1994,1958,1,1,3,20,14325,NA
18513,1985,1951,1,1,3,12,14515,2
51490,2008,1977,0,1,1,17,29452.5,2
54326,2010,1938,0,1,1,18,1036,3
11764,1980,1949,0,1,3,13,35121,4
24959,1990,1942,1,1,1,18,21068,4
33916,1996,1974,0,1,1,12,32625,4
52110,2008,1977,0,1,1,14,2945.25,4
35158,1996,1962,1,1,1,13,11781,3
30080,1994,1964,1,1,3,12,10505,3
25424,1990,1963,0,1,5,14,33266,3
53569,2010,1966,0,1,1,18,72520,3
31130,1994,1955,1,2,1,18,24830,2
4680,1975,1942,0,1,1,12,38910,3
25396,1990,1953,1,1,1,14,9980,4
21548,1987,1962,0,2,5,14,5500,3
48709,2006,1956,1,3,3,20,79590,3
22436,1988,1969,0,1,5,11,3378,4
30158,1994,1944,1,1,1,18,24830,NA
46201,2004,1983,0,1,5,11,5434.2,NA
16925,1984,1951,1,1,1,11,8254,2
13538,1982,1945,0,1,1,13,97992,4
35910,1998,1946,0,1,1,16,31005,3
38812,2000,1963,1,1,1,18,24937,3
7075,1976,1940,1,2,4,12,13242,4
8636,1977,1928,0,1,1,15,40930,2
38737,2000,1973,1,3,5,16,7481,4
53871,2010,1955,0,1,3,15,1813,1
21879,1988,1959,1,1,1,16,22919,4
37399,1998,1949,1,2,3,15,4478,4
7105,1976,1946,1,1,4,11,7130,3
7357,1976,1933,0,1,1,19,81652,4
18699,1986,1932,1,2,4,9,14015,NA
3371,1974,1936,1,1,1,13,16038,3
28342,1993,1958,0,1,3,12,1572,4
26353,1991,1968,0,1,5,12,13579,4
22097,1988,1964,0,1,5,14,26538,3
11474,1980,1946,0,2,1,12,13595,4
24171,1989,1952,1,1,1,16,51023,NA
32959,1996,1954,1,1,5,20,92692,NA
40262,2000,1944,1,1,1,16,24937,3
53553,2010,1961,0,1,1,14,51800,3
44921,2004,1964,1,3,1,10,9811.75,4
7438,1976,1917,0,1,1,16,81652,4
20755,1987,1951,0,1,1,15,37500,3
50750,2006,1965,0,1,3,14,13501.875,3
41271,2002,1969,0,1,1,16,51620.25,4
4042,1974,1953,0,1,1,11,11103,2
12712,1982,1935,0,1,1,10,25619,4
11323,1980,1961,1,1,5,12,3021,3
25945,1990,1961,1,1,1,12,3992,3
6815,1976,1919,0,1,1,8,13242,2
16899,1984,1914,1,1,2,5,3852,1
32168,1994,1958,1,1,1,12,24830,4
42958,2002,1969,0,1,3,12,14860.375,4
23780,1989,1964,0,1,5,17,15075,4
28437,1993,1941,1,1,1,12,10808,3
35301,1998,1971,1,3,3,11,7751,3
32029,1994,1938,0,1,1,16,97684,3
11840,1980,1959,0,1,5,14,28323,4
39182,2000,1957,1,3,1,9,5985,3
51250,2008,1928,0,3,1,14,8701.875,3
37424,1998,1972,1,1,5,16,18947,4
25177,1990,1926,0,1,1,12,33266,4
7805,1977,1943,0,1,1,18,36114,4
5911,1975,1939,1,1,3,12,1112,4
35182,1996,1964,0,3,5,13,9969,NA
35653,1998,1960,0,1,1,17,37895,3
20918,1987,1942,0,2,5,12,27500,2
20914,1987,1929,0,1,1,12,37500,3
